"ID"	"Дата.изменения.статуса"	"Статус"	"Автор"	"Пользователь"	"Категория.автора"	"Контент"	"Тип.обращения"	"Хост"	"Подписчики"	"Тема"	"Локация"	"Тональность"	"Тип"
289802	2088-04-05 08:23:52	"Ожидание ответа автора"	"token_111419"	"token_111434"		"'Артем, сообщите, пожалуйста, ваш номер. Или напишите точное название вашего тарифа (вместе с цифрами, если есть). Узнать название тарифа можно с помощью команды *108#."							"1-ответ"
289802	2088-04-05 08:23:52	"Ожидание ответа автора"	"token_NA"	"token_111434"						"Прочее"	"Пермь"		"2-инцидент"
289802	2088-04-05 08:28:56	"Инцидент"	"token_NA"	"token_111424"						"Прочее"	"Пермь"		"2-инцидент"
289802	2088-04-05 08:28:56	"Инцидент"	"token_43229"	"token_NA"	"Жалобщик"	"'xxx xxx xx xx"	"Личное сообщение"	"'ВКонтакте"	0	"Прочее"			"0-пост"
289802	2088-04-05 09:19:37	"Ожидание ответа автора"	"token_111419"	"token_111436"		"'Артем, вы можете воспользоваться услугой \"Добавить трафик 3 ГБ\" с помощью комбинации *155*231# вызов. Стоимость услуги: 220 руб. Отключить можно с помощью комбинации *155*230# вызов. Способ проверки статуса услуги *155*23# вызов. Подробнее о параметрах и условиях здесь: https://perm.tele2.ru/option/addtraffic-3gb . Могу подсказать вам что-то еще? <U+0001F60A>"							"1-ответ"
289802	2088-04-05 09:19:37	"Ожидание ответа автора"	"token_NA"	"token_111436"						"Прочее"	"Пермь"		"2-инцидент"
289802	2088-04-06 09:24:15	"Закрытые"	"token_NA"	"token_111424"						"Прочее"	"Пермь"		"2-инцидент"
299876	2088-04-10 00:14:55	"Новый"	"token_72300"	"token_111428"	"Обычный"	"'Знаете если честно это вообще отвратительная ситуация! Если у вас ограничение партнера отключить эту функцию на хрен тогда! Кто вернет мне деньги?"	"Личное сообщение"	"'ВКонтакте"	492	"Прочее"			"0-пост"
299876	2088-04-10 00:15:47	"Инцидент"	"token_NA"	"token_111428"						"Прочее"	"Не определена"		"2-инцидент"
299876	2088-04-10 00:48:59	"Ожидание ответа автора"	"token_111419"	"token_111430"		"'Кира, я прекрасно понимаю вас. Тем не менее я никак не могу повлиять на данную ситуацию. Платеж поступит в течение трёх дней. Возможно, есть другие вопросы?"							"1-ответ"
299876	2088-04-10 00:48:59	"Ожидание ответа автора"	"token_NA"	"token_111430"						"Прочее"	"Не определена"		"2-инцидент"
299876	2088-04-11 00:51:34	"Закрытые"	"token_NA"	"token_111424"						"Прочее"	"Не определена"		"2-инцидент"
301998	2088-04-10 14:56:09	"Новый"	"token_66082"	"token_111445"	"Обычный"	"'здравствуйте"	"Личное сообщение"	"'ВКонтакте"	9	"Прочее"			"0-пост"
301998	2088-04-10 14:56:12	"Новый"	"token_66082"	"token_111445"	"Обычный"	"'мне пришло вот такое смс"	"Личное сообщение"	"'ВКонтакте"	9	"Прочее"			"0-пост"
301998	2088-04-10 14:56:14	"Новый"	"token_66082"	"token_111445"	"Обычный"	"'Доступ к media-cloud.biz предоставлен: xxxxxхх хххххххх. 30 р./сут. с НДС. Для отключения отправьте СТОП на номер 2317387."	"Личное сообщение"	"'ВКонтакте"	9	"Прочее"			"0-пост"
301998	2088-04-10 14:56:16	"Новый"	"token_66082"	"token_111445"	"Обычный"	"'перед этим смс за 30-60 минут пришли деньги на телефон"	"Личное сообщение"	"'ВКонтакте"	9	"Прочее"			"0-пост"
301998	2088-04-10 14:56:18	"Новый"	"token_66082"	"token_111445"	"Обычный"	"'300р"	"Личное сообщение"	"'ВКонтакте"	9	"Прочее"			"0-пост"
301998	2088-04-10 14:58:10	"Инцидент"	"token_NA"	"token_111445"						"Прочее"	"Не определена"		"2-инцидент"
301998	2088-04-10 15:42:48	"Ожидание ответа автора"	"token_111419"	"token_111451"		"'Иван, здравствуйте! Сообщите, пожалуйста, ваш телефон, всё проверю и отключу подписку. <U+0001F609>"							"1-ответ"
301998	2088-04-10 15:42:48	"Ожидание ответа автора"	"token_NA"	"token_111451"						"Прочее"	"Не определена"		"2-инцидент"
301998	2088-04-10 17:21:13	"Инцидент"	"token_NA"	"token_111424"						"Прочее"	"Не определена"		"2-инцидент"
301998	2088-04-10 17:21:14	"Инцидент"	"token_66082"	"token_NA"	"Обычный"	"'ок"	"Личное сообщение"	"'ВКонтакте"	9	"Прочее"			"0-пост"
301998	2088-04-10 17:21:15	"Инцидент"	"token_66082"	"token_NA"	"Обычный"	"'+xxx xxx xx xx"	"Личное сообщение"	"'ВКонтакте"	9	"Прочее"			"0-пост"
301998	2088-04-10 18:02:12	"Ожидание ответа автора"	"token_111419"	"token_111447"		"'Иван, подписку я вам отключил. Подключение подобного рода подписок происходит в резулxxxxxxxxxxx189# (вызов).  Также, рекомендуем установить запрет на подключение интернет-подписок с помощью команды *931# (вызов). Если интересуют списания, напишите код, который я вам отправил на номер."							"1-ответ"
301998	2088-04-10 18:02:12	"Ожидание ответа автора"	"token_NA"	"token_111447"						"Прочее"	"Не определена"		"2-инцидент"
301998	2088-04-11 18:06:53	"Закрытые"	"token_NA"	"token_111424"						"Прочее"	"Не определена"		"2-инцидент"
304982	2088-04-11 18:51:26	"Новый"	"token_31631"	"token_111457"	"Обычный"	"'Здравствуйте. Хочу перейти с мтс на теле2 через сайт. На мтсе посуточная оплата. Вопрос - при отправлении заявки, мой номер в мтсе сразу \"заморозят\" или я заплачу за следующий день?"	"Личное сообщение"	"'ВКонтакте"	20	"Прочее"			"0-пост"
304982	2088-04-11 19:07:10	"Инцидент"	"token_NA"	"token_111457"						"Прочее"	"Не определена"		"2-инцидент"
304982	2088-04-11 20:31:18	"Ожидание ответа автора"	"token_111417"	"token_111436"		"'Здравствуйте, Александр! Чтобы перейти в Tele2 с сохранением номера, владельцу номера необходимо выполнить следующие действия:  - убедиться в отсутствии задолженности перед текущим оператором, а также проверить актуальность личных данных;  - с паспортом обратиться в наш салон связи. Адреса тут: https://tele2.ru/offices , предварительно укажите ваш регион.  - подписать договор и получить SIM-карту.  Технический переход может занять от 8-ми дней после подписания договора. За день до смены оператора вам будет отправлено SMS с напоминанием переставить SIM-карту и указанием времени перехода. Во время переноса номер телефона может быть недоступен около получаса. Перенос номера бесплатный.  Александр, после заключения договора вам будет предоставлен временный номер Tele2, а когда подойдет срок переноса - номер МТС будет перенесен на эту SIM-карту. Удалось разобраться?<U+0001F60A>"							"1-ответ"
304982	2088-04-11 20:31:18	"Ожидание ответа автора"	"token_NA"	"token_111436"						"Прочее"	"Не определена"		"2-инцидент"
304982	2088-04-12 12:06:35	"Инцидент"	"token_NA"	"token_111424"						"Прочее"	"Не определена"		"2-инцидент"
304982	2088-04-12 12:06:36	"Инцидент"	"token_31631"	"token_NA"	"Обычный"	"'Да, разобрался. Спасибо. Даже неловко немного, на вопрос отвечает первая ссылка при грамотном поисковом запросе."	"Личное сообщение"	"'ВКонтакте"	20	"Прочее"			"0-пост"
304982	2088-04-12 12:41:36	"Закрытые"	"token_111417"	"token_111427"		"'Александр, пожалуйста! Будут вопросы - обращайтесь. Будем рады видеть вас в числе наших абонентов. :)  Оцените, пожалуйста, качество консулxxxxxxxxxxx2.ru/opros/agency-sm-quality"							"1-ответ"
304982	2088-04-12 12:41:36	"Закрытые"	"token_NA"	"token_111427"						"Прочее"	"Не определена"		"2-инцидент"
309080	2088-04-13 16:41:44	"Новый"	"token_54346"	"token_111428"	"Обычный"	"'Как менять минуты на гигобайты"	"Личное сообщение"	"'ВКонтакте"	22	"Прочее"			"0-пост"
309080	2088-04-13 16:44:11	"Инцидент"	"token_NA"	"token_111428"						"Прочее"	"Не определена"		"2-инцидент"
309080	2088-04-13 19:50:06	"Ожидание ответа автора"	"token_111417"	"token_111446"		"'Даниил, здравствуйте. Обменять минуты на ГБ можно по комбинации: *155*62*<кол-во минут для обмена># (вызов). Услуга бесплатная. Более подробную информацию можно посмотреть на сайте: https://tele2.ru/option/exchange (стоимость и условия будут указаны). Получилось?"							"1-ответ"
309080	2088-04-13 19:50:06	"Ожидание ответа автора"	"token_NA"	"token_111446"						"Прочее"	"Не определена"		"2-инцидент"
309080	2088-04-14 08:21:48	"Инцидент"	"token_NA"	"token_111424"						"Прочее"	"Не определена"		"2-инцидент"
309080	2088-04-14 08:21:48	"Инцидент"	"token_54346"	"token_NA"	"Обычный"	"'Да спасибо"	"Личное сообщение"	"'ВКонтакте"	22	"Прочее"			"0-пост"
309080	2088-04-14 08:27:51	"Закрытые"	"token_111417"	"token_111442"		"'Даниил, пожалуйста. Если у вас возникнут какие-либо вопросы - обращайтесь. :)  Оцените, пожалуйста, качество консулxxxxxxxxxxx2.ru/opros/agency-sm-quality"							"1-ответ"
309080	2088-04-14 08:27:51	"Закрытые"	"token_NA"	"token_111442"						"Прочее"	"Не определена"		"2-инцидент"
316236	2088-04-16 03:36:59	"Новый"	"token_86770"	"token_111428"	"Обычный"	"'Проходит ли сейчас розыгрыш iphone x за 70 рублей?дело в том что при в ходе в браузер появилось всплывающее о окошко,от теле 2 с предложением пройти опрос и стать участником розыгрыша призов"	"Личное сообщение"	"'ВКонтакте"	23	"Прочее"			"0-пост"
316236	2088-04-16 03:41:59	"Новый"	"token_86770"	"token_111428"	"Обычный"	"'Сообщение без текста"	"Личное сообщение"	"'ВКонтакте"	23	"Прочее"			"0-пост"
316236	2088-04-16 03:42:04	"Новый"	"token_86770"	"token_111428"	"Обычный"	"'А не,развод)"	"Личное сообщение"	"'ВКонтакте"	23	"Прочее"			"0-пост"
316236	2088-04-16 03:48:24	"Инцидент"	"token_NA"	"token_111428"						"Прочее"	"Не определена"		"2-инцидент"
316236	2088-04-16 04:35:28	"Ожидание ответа автора"	"token_111417"	"token_111431"		"'Никита, здравствуйте! <U+0001F60A> Подробных акций в нашей компании не проводится. Рекомендуем не доверять информации на сторонних ресурсах. Следите за всеми новостями и акциями на нашем сайте https://msk.tele2.ru/about/news-list (перейдя по ссылке, выберите свой регион). Возможно, будут ещё другие вопросы?"							"1-ответ"
316236	2088-04-16 04:35:28	"Ожидание ответа автора"	"token_NA"	"token_111431"						"Прочее"	"Не определена"		"2-инцидент"
316236	2088-04-17 04:37:39	"Закрытые"	"token_NA"	"token_111424"						"Прочее"	"Не определена"		"2-инцидент"
319104	2088-04-17 14:22:56	"Новый"	"token_95145"	"token_111425"	"Обычный"	"'Здравствуйте.Подскажите есть ли у вас такие тарифы что бы один тп и 2 номера?"	"Комментарий"	"'ВКонтакте"	326	"Официальные блоги"	"Москва"		"0-пост"
319104	2088-04-17 14:25:39	"Инцидент"	"token_NA"	"token_111425"						"Официальные блоги"	"Москва"		"2-инцидент"
319104	2088-04-17 15:29:14	"Ожидание ответа автора"	"token_111418"	"token_111451"		"'[xxxxx] приветствуем! Увы, таких предложений у нас нет. Подскажите, в связи с чем возникла такая необходимость? Давайте попробуем подобрать что-нибудь из существующих тарифов под вашу ситуацию. :)"							"1-ответ"
319104	2088-04-17 15:29:14	"Ожидание ответа автора"	"token_NA"	"token_111451"						"Официальные блоги"	"Челябинск"		"2-инцидент"
319104	2088-04-18 15:32:57	"Закрытые"	"token_NA"	"token_111424"						"Официальные блоги"	"Челябинск"		"2-инцидент"
325708	2088-04-19 14:53:38	"Новый"	"token_27818"	"token_111457"	"Обычный"	"'Причём, так написано, что не ясно в день или в месяц 30 гигов"	"Комментарий"	"'Форум tele2life.ru"	0	"Прочее"	"Псков"		"0-пост"
325708	2088-04-19 14:57:59	"Инцидент"	"token_NA"	"token_111457"						"Прочее"	"Псков"		"2-инцидент"
325708	2088-04-19 17:46:33	"Ожидание ответа автора"	"token_NA"	"token_111447"		"'Здравствуйте <U+0001F60A>  С 27 апреля 2018 года на тарифном плане «Беспредельно черный» доступ в интернет будет осуществляться следующим образом: - с 07:00 до 23:59 (по местному времени) будет предоставляться пакет интернета объемом  30 ГБ. - с 00:00 до 06:59 – безлимитный пакет интернета. 30 ГБ дневного интернет-трафика предоставляется на месяц. Еще можем что-либо подсказать?"							"1-ответ"
325708	2088-04-19 17:46:34	"Ожидание ответа автора"	"token_NA"	"token_111447"						"Прочее"	"Псков"		"2-инцидент"
325708	2088-04-20 17:48:01	"Закрытые"	"token_NA"	"token_111424"						"Прочее"	"Псков"		"2-инцидент"
327544	2088-04-20 00:17:24	"Новый"	"token_58876"	"token_111428"	"Обычный"	"'xxx xxx xx xx"	"Личное сообщение"	"'ВКонтакте"	74	"Прочее"			"0-пост"
327544	2088-04-20 00:17:25	"Новый"	"token_58876"	"token_111428"	"Обычный"	"'Вне зоны обслуживания пишет, куда бы не позвонил"	"Личное сообщение"	"'ВКонтакте"	74	"Прочее"			"0-пост"
327544	2088-04-20 00:21:55	"Инцидент"	"token_NA"	"token_111428"						"Прочее"	"Не определена"		"2-инцидент"
327544	2088-04-20 01:57:25	"Инцидент"	"token_58876"	"token_NA"	"Обычный"	"'Номер не отключен/заблокирован ли часом, подскажите прошу"	"Личное сообщение"	"'ВКонтакте"	74	"Прочее"			"0-пост"
327544	2088-04-20 03:32:07	"Ожидание ответа автора"	"token_111419"	"token_111435"		"'Дмитрий, здравствуйте! На данный момент на номере есть ограничение. <U+0001F614> Тарифный план блокирован из-за нехватки средств для списания абонентской платы. Действуют базовые расценки тарифа, стоимость минуты на всех операторов (и на Tele2) 1 руб. 50 коп. Подробнее о параметрах, комбинации, стоимости тарифа можно узнать на сайте: https://novosibirsk.tele2.ru/tariff/my-tele2-11-2017 . Рекомендую пополнить баланс. Если поле пополнения такая ситуация сохранится, обращайтесь."							"1-ответ"
327544	2088-04-20 03:32:07	"Ожидание ответа автора"	"token_NA"	"token_111435"						"Прочее"	"Новосибирск"		"2-инцидент"
327544	2088-04-20 07:12:23	"Инцидент"	"token_NA"	"token_111424"						"Прочее"	"Новосибирск"		"2-инцидент"
327544	2088-04-20 07:12:24	"Инцидент"	"token_58876"	"token_NA"	"Обычный"	"'Туда не приходят смс + я не могу дозвониться на свой номер (т. е со своего на xxx xxx xx xx) если пополню баланс ограничение уйдет? И сколько нужно денег положить?"	"Личное сообщение"	"'ВКонтакте"	74	"Прочее"			"0-пост"
327544	2088-04-20 09:10:51	"Ожидание ответа автора"	"token_111419"	"token_111451"		"'Дмитрий, абонентская плата на вашем тарифе 10 руб. в сутки. Рекомендую пополнить счет, чтобы хватило хотя бы на несколько дней. <U+0001F609>  Если после этого проблема сохранится, обязательно сообщите мне, будем разбираться."							"1-ответ"
327544	2088-04-20 09:10:51	"Ожидание ответа автора"	"token_NA"	"token_111451"						"Прочее"	"Новосибирск"		"2-инцидент"
327544	2088-04-21 09:13:20	"Закрытые"	"token_NA"	"token_111424"						"Прочее"	"Новосибирск"		"2-инцидент"
333288	2088-04-21 16:07:45	"Новый"	"token_82358"	"token_111437"	"Обычный"	"'ВЕРНИТЕ БЕСПРЕДЕЛЬНО ЧЕРНЫЙ,серьезно,очень надо,у меня нет вайфая(не имею возможности в частный дом) нет проводного интерента,только этот тариф спасал,пожалуйста!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"	"Комментарий"	"'ВКонтакте"	40	"Официальные блоги"	"Москва"		"0-пост"
333288	2088-04-21 16:09:39	"Инцидент"	"token_NA"	"token_111426"						"Официальные блоги"	"Москва"		"2-инцидент"
333288	2088-04-21 18:22:35	"Инцидент"	"token_NA"	"token_111437"						"Официальные блоги"	"Москва"		"2-инцидент"
354477	2088-04-25 22:04:48	"Новый"	"token_38700"	"token_111457"	"Обычный"	"'У меня на МТС 270 рублей в месяц,700 минут,700 смс,20Гб интернета,за звонки на МТС минуты не тратяться, что то мне подсказывает,что это очень выгодно!"	"Комментарий"	"'ВКонтакте"	8	"Официальные блоги"	"Москва"		"0-пост"
354477	2088-04-26 00:18:33	"Инцидент"	"token_NA"	"token_111457"						"Официальные блоги"	"Москва"		"2-инцидент"
354477	2088-04-26 01:31:10	"Инцидент"	"token_NA"	"token_111457"						"Официальные блоги"	"Москва"		"2-инцидент"
358046	2088-04-27 03:46:07	"Новый"	"token_111404"	"token_111457"	"Обычный"	"'Наглость второе счастье?"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 03:46:07	"Новый"	"token_111404"	"token_111457"	"Обычный"	"'У меня Интернет с безлимитки обрезали"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 03:46:08	"Новый"	"token_111404"	"token_111457"	"Обычный"	"'Без моего согласия"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 03:46:09	"Новый"	"token_111404"	"token_111457"	"Обычный"	"'Грузит на скоростях над которыми даже в колхозе бы посмеялись"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 03:46:09	"Новый"	"token_111404"	"token_111457"	"Обычный"	"'А теперь интернета нет"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 03:46:10	"Новый"	"token_111404"	"token_111457"	"Обычный"	"'Ахуенно"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 03:51:08	"Новый"	"token_111404"	"token_111457"	"Обычный"	"'Можете объяснить почему интернет не грузит абсолютно?"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 03:51:28	"Инцидент"	"token_NA"	"token_111457"						"Прочее"	"Не определена"		"2-инцидент"
358046	2088-04-27 03:56:08	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'Товарищ оператор"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 04:01:10	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'Ало"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 04:06:09	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'VK CO FF EE xxx xxx xx xxF xxx xxx xx xx xxx xxx xx xx xxx xxx xx xx xxx xxx xx xx xxx xxx xx xx xxx xxx xx xxC xxx xxx xx xx xxx xxx xx xx xxx xxx xx xx xxx xxx xx xx xxx xxx xx xx xxx xxx xx xx xxx xxx xx xx xxx xxx xx xx xxx xxx xx xxB xxx xxx xx xx xxx xxx xx xx xxx xxx xx xx xxx xxx xx xxD xxx xxx xx xx xxx xxx xx xx xxx xxx xx xxD VK CO FF EE"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 04:06:10	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'На каком основании теле2 отключило сеть на 44 минуты с интервалом с 0.20 по 1.04"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 04:11:08	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'Без предупреждения о технических работах"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 05:01:10	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 07:34:50	"Ожидание ответа автора"	"token_111419"	"token_111438"		"'Яша, здравствуйте. Напишите, пожалуйста, номер телефона, на котором проблема, и адрес."							"1-ответ"
358046	2088-04-27 07:34:50	"Ожидание ответа автора"	"token_NA"	"token_111438"						"Прочее"	"Не определена"		"2-инцидент"
358046	2088-04-27 12:54:33	"Инцидент"	"token_NA"	"token_111424"						"Прочее"	"Не определена"		"2-инцидент"
358046	2088-04-27 12:54:40	"Инцидент"	"token_NA"	"token_111424"						"Прочее"	"Не определена"		"2-инцидент"
358046	2088-04-27 15:30:49	"Инцидент"	"token_NA"	"token_111424"						"Прочее"	"Не определена"		"2-инцидент"
358046	2088-04-27 15:30:51	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'Что то не особо активно идут ответы"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 18:26:37	"Ожидание ответа автора"	"token_111417"	"token_111430"		"'Яша, мы отвечаем всем в порядке очереди. Укажите, пожалуйста, более точный адрес (район, улxxxxxxxxxxx6.2 \"Условий оказания услуг связи\", оператор вправе в одностороннем порядке вносить изменения в тарифные планы/отдельные тарифы на услуги связи, предварительно за 10 дней, известив об изменениях абонента на сайте оператора в информационно-телекоммуникационной сети «Интернет», а также в местах работы с абонентами, если это предусмотрено действующим законодательством РФ."							"1-ответ"
358046	2088-04-27 18:26:37	"Ожидание ответа автора"	"token_NA"	"token_111430"						"Прочее"	"Не определена"		"2-инцидент"
358046	2088-04-27 18:31:50	"Инцидент"	"token_NA"	"token_111424"						"Прочее"	"Не определена"		"2-инцидент"
358046	2088-04-27 18:31:51	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'Мне никто не писал"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 18:31:54	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'xx xxx xxxxxx д1"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 18:31:55	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'Интернета не было ночью"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 18:31:56	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'Повсеместно"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 18:31:57	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'В центральном районе города"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 18:31:58	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'Я не поленился и обзвонил остальных абонентов"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 18:31:59	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'В данном районе"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 18:32:00	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'На сети 4g интернета"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 18:32:01	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'Не было"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 18:32:06	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'При принудительном переключении"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 18:32:07	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'На 3g сеть появлялась"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 18:32:09	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'Но интернета также не было"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 18:32:12	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'Мои дела требуют постоянное использование мобильного интернета"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 18:32:13	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'И такое для меня просто недопустимо"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
358046	2088-04-27 20:32:32	"Ожидание ответа автора"	"token_111417"	"token_111452"		"'У вас отсутствовала сеть или отсутствовал только выход в интернет? Также подскажите, пожалуйста, на данный момент проблема у вас актуальна?"							"1-ответ"
358046	2088-04-27 20:32:32	"Ожидание ответа автора"	"token_NA"	"token_111452"						"Прочее"	"Не определена"		"2-инцидент"
358046	2088-04-27 22:50:49	"Инцидент"	"token_NA"	"token_111424"						"Прочее"	"Не определена"		"2-инцидент"
358046	2088-04-27 22:50:50	"Инцидент"	"token_111404"	"token_NA"	"Обычный"	"'Жду"	"Личное сообщение"	"'ВКонтакте"	70	"Прочее"			"0-пост"
